Time,Theta,Velocity,Error
6.94,1769.7,255,-267.15
6.95,1772.25,255,-269.7
6.96,1774.8,255,-272.25
6.97,1777.35,255,-274.8
6.98,1779.9,255,-277.35
6.99,1782.45,255,-279.9
7,1785,255,-282.45
7.01,1787.55,255,-285
7.02,1790.1,255,-287.55
7.03,1792.65,255,-290.1
7.04,1795.2,255,-292.65
7.05,1797.75,255,-295.2
7.06,1800.3,255,-297.75
7.07,1802.85,255,-300.3
7.08,1805.4,255,-302.85
7.09,1807.95,255,-305.4
7.1,1810.5,255,-307.95
7.11,1813.05,255,-310.5
7.12,1815.6,255,-313.05
7.13,1818.15,255,-315.6
7.14,1820.7,255,-318.15
7.15,1823.25,255,-320.7
7.16,1825.8,255,-323.25
7.17,1828.35,255,-325.8
7.18,1830.9,255,-328.35
7.19,1833.45,255,-330.9
7.2,1836,255,-333.45
7.21,1838.55,255,-336
7.22,1841.1,255,-338.55
7.23,1843.65,255,-341.1
7.24,1846.2,255,-343.65
7.25,1848.75,255,-346.2
7.26,1851.3,255,-348.75
7.27,1853.85,255,-351.3
7.28,1856.4,255,-353.85
7.29,1858.95,255,-356.4
7.3,1861.5,255,-358.95
7.31,1864.05,255,-361.5
7.32,1866.6,255,-364.05
7.33,1869.15,255,-366.6
7.34,1871.7,255,-369.15
7.35,1874.25,255,-371.7
7.36,1876.8,255,-374.25
7.37,1879.35,255,-376.8
7.38,1881.9,255,-379.35
7.39,1884.45,255,-381.9
7.4,1887,255,-384.45
7.41,1889.55,255,-387
7.42,1892.1,255,-389.55
7.43,1894.65,255,-392.1
7.44,1897.2,255,-394.65
7.45,1899.75,255,-397.2
7.46,1902.3,255,-399.75
7.47,1904.85,255,-402.3
7.48,1907.4,255,-404.85
7.49,1909.95,255,-407.4
7.5,1912.5,255,-409.95
7.51,1915.05,255,-412.5
7.52,1917.6,255,-415.05
7.53,1920.15,255,-417.6
7.54,1922.7,255,-420.15
7.55,1925.25,255,-422.7
7.56,1927.8,255,-425.25
7.57,1930.35,255,-427.8
7.58,1932.9,255,-430.35
7.59,1935.45,255,-432.9
7.6,1938,255,-435.45
7.61,1940.55,255,-438
7.62,1943.1,255,-440.55
7.63,1945.65,255,-443.1
7.64,1948.2,255,-445.65
7.65,1950.75,255,-448.2
7.66,1953.3,255,-450.75
7.67,1955.85,255,-453.3
7.68,1958.4,255,-455.85
7.69,1960.95,255,-458.4
7.7,1963.5,255,-460.95
7.71,1966.05,255,-463.5
7.72,1968.6,255,-466.05
7.73,1971.15,255,-468.6
7.74,1973.7,255,-471.15
7.75,1976.25,255,-473.7
7.76,1978.8,255,-476.25
7.77,1981.35,255,-478.8
7.78,1983.9,255,-481.35
7.79,1986.45,255,-483.9
7.8,1989,255,-486.45
7.81,1991.55,255,-489
7.82,1994.1,255,-491.55
7.83,1996.65,255,-494.1
7.84,1999.2,255,-496.65
7.85,2001.75,255,-499.2
7.86,2004.3,255,-501.75
7.87,2006.85,255,-504.3
7.88,2009.4,255,-506.85
7.89,2011.95,255,-509.4
7.9,2014.5,255,-511.95
7.91,2017.05,255,-514.5
7.92,2019.6,255,-517.05
7.93,2022.15,255,-519.6
7.94,2024.7,255,-522.15
7.95,2027.25,255,-524.7
7.96,2029.8,255,-527.25
7.97,2032.35,255,-529.8
7.98,2034.9,255,-532.35
7.99,2037.45,255,-534.9
8,2040,255,-537.45
8.01,2042.55,255,-540
8.02,2045.1,255,-542.55
8.03,2047.65,255,-545.1
8.04,2050.2,255,-547.65
8.05,2052.75,255,-550.2
8.06,2055.3,255,-552.75
8.07,2057.85,255,-555.3
8.08,2060.4,255,-557.85
8.09,2062.95,255,-560.4
8.1,2065.5,255,-562.95
8.11,2068.05,255,-565.5
8.12,2070.6,255,-568.05
8.13,2073.15,255,-570.6
8.14,2075.7,255,-573.15
8.15,2078.25,255,-575.7
8.16,2080.8,255,-578.25
8.17,2083.35,255,-580.8
8.18,2085.9,255,-583.35
8.19,2088.45,255,-585.9
8.2,2091,255,-588.45
8.21,2093.55,255,-591
8.22,2096.1,255,-593.55
8.23,2098.65,255,-596.1
8.24,2101.2,255,-598.65
8.25,2103.75,255,-601.2
8.26,2106.3,255,-603.75
8.27,2108.85,255,-606.3
8.28,2111.4,255,-608.85
8.29,2113.95,255,-611.4
8.3,2116.5,255,-613.95
8.31,2119.05,255,-616.5
8.32,2121.6,255,-619.05
8.33,2124.15,255,-621.6
8.34,2126.7,255,-624.15
8.35,2129.25,255,-626.7
8.36,2131.8,255,-629.25
8.37,2134.35,255,-631.8
8.38,2136.9,255,-634.35
8.39,2139.45,255,-636.9
8.4,2142,255,-639.45
8.41,2144.55,255,-642
8.42,2147.1,255,-644.55
8.43,2149.65,255,-647.1
8.44,2152.2,255,-649.65
8.45,2154.75,255,-652.2
8.46,2157.3,255,-654.75
8.47,2159.85,255,-657.3
8.48,2162.4,255,-659.85
8.49,2164.95,255,-662.4
8.5,2167.5,255,-664.95
8.51,2170.05,255,-667.5
8.52,2172.6,255,-670.05
8.53,2175.15,255,-672.6
8.54,2177.7,255,-675.15
8.55,2180.25,255,-677.7
8.56,2182.8,255,-680.25
8.57,2185.35,255,-682.8
8.58,2187.9,255,-685.35
8.59,2190.45,255,-687.9
8.6,2193,255,-690.45
8.61,2195.55,255,-693
8.62,2198.1,255,-695.55
8.63,2200.65,255,-698.1
8.64,2203.2,255,-700.65
8.65,2205.75,255,-703.2
8.66,2208.3,255,-705.75
8.67,2210.85,255,-708.3
8.68,2213.4,255,-710.85
8.69,2215.95,255,-713.4
8.7,2218.5,255,-715.95
8.71,2221.05,255,-718.5
8.72,2223.6,255,-721.05
8.73,2226.15,255,-723.6
8.74,2228.7,255,-726.15
8.75,2231.25,255,-728.7
8.76,2233.8,255,-731.25
8.77,2236.35,255,-733.8
8.78,2238.9,255,-736.35
8.79,2241.45,255,-738.9
8.8,2244,255,-741.45
8.81,2246.55,255,-744
8.82,2249.1,255,-746.55
8.83,2251.65,255,-749.1
8.84,2254.2,255,-751.65
8.85,2256.75,255,-754.2
8.86,2259.3,255,-756.75
8.87,2261.85,255,-759.3
8.88,2264.4,255,-761.85
8.89,2266.95,255,-764.4
8.9,2269.5,255,-766.95
8.91,2272.05,255,-769.5
8.92,2274.6,255,-772.05
8.93,2277.15,255,-774.6
8.94,2279.7,255,-777.15
8.95,2282.25,255,-779.7
8.96,2284.8,255,-782.25
8.97,2287.35,255,-784.8
8.98,2289.9,255,-787.35
8.99,2292.45,255,-789.9
9,2295,255,-792.45
9.01,2297.55,255,-795
9.02,2300.1,255,-797.55
9.03,2302.65,255,-800.1
9.04,2305.2,255,-802.65
9.05,2307.75,255,-805.2
9.06,2310.3,255,-807.75
9.07,2312.85,255,-810.3
9.08,2315.4,255,-812.85
9.09,2317.95,255,-815.4
9.1,2320.5,255,-817.95
9.11,2323.05,255,-820.5
9.12,2325.6,255,-823.05
9.13,2328.15,255,-825.6
9.14,2330.7,255,-828.15
9.15,2333.25,255,-830.7
9.16,2335.8,255,-833.25
9.17,2338.35,255,-835.8
9.18,2340.9,255,-838.35
9.19,2343.45,255,-840.9
9.2,2346,255,-843.45
9.21,2348.55,255,-846
9.22,2351.1,255,-848.55
9.23,2353.65,255,-851.1
9.24,2356.2,255,-853.65
9.25,2358.75,255,-856.2
9.26,2361.3,255,-858.75
9.27,2363.85,255,-861.3
9.28,2366.4,255,-863.85
9.29,2368.95,255,-866.4
9.3,2371.5,255,-868.95
9.31,2374.05,255,-871.5
9.32,2376.6,255,-874.05
